,id,location,morphology,x,y,sph,disk,irr,ps
0,1,"[19, 351]","[0.013361811637999422, 0.0, 0.0, 0.9866381883620006]",19,351,0.013361811637999422,0.0,0.0,0.9866381883620006
1,2,"[18, 509]","[1.929992172466938e-05, 0.1397394466442965, 0.8521890074157111, 0.008052246018267697]",18,509,1.929992172466938e-05,0.1397394466442965,0.8521890074157111,0.008052246018267697
2,3,"[35, 82]","[0.00013260856475011732, 0.9998642439471372, 0.0, 3.1474881126670745e-06]",35,82,0.00013260856475011732,0.9998642439471372,0.0,3.1474881126670745e-06
3,4,"[47, 308]","[0.0691585834116751, 4.419803995287296e-05, 0.0, 0.930797218548372]",47,308,0.0691585834116751,4.419803995287296e-05,0.0,0.930797218548372
4,5,"[56, 597]","[0.0026389163346967046, 0.0005836256584102671, 0.038535063024924876, 0.9582423949819682]",56,597,0.0026389163346967046,0.0005836256584102671,0.038535063024924876,0.9582423949819682
5,6,"[62, 311]","[0.003151586012773432, 6.848159829378252e-06, 0.0, 0.9968415658273971]",62,311,0.003151586012773432,6.848159829378252e-06,0.0,0.9968415658273971
6,7,"[74, 171]","[2.0324332789701717e-05, 0.925378289582452, 0.07258333197348411, 0.0020180541112741215]",74,171,2.0324332789701717e-05,0.925378289582452,0.07258333197348411,0.0020180541112741215
7,8,"[74, 748]","[0.00043868206003014814, 0.0007463760310558224, 0.0031595656898023845, 0.9956553762191116]",74,748,0.00043868206003014814,0.0007463760310558224,0.0031595656898023845,0.9956553762191116
8,9,"[84, 452]","[0.00011738077313654105, 0.0, 0.0, 0.9998826192268635]",84,452,0.00011738077313654105,0.0,0.0,0.9998826192268635
9,10,"[102, 355]","[0.9836027873516761, 0.012230042207059168, 0.0034901043100759887, 0.0006770661311888022]",102,355,0.9836027873516761,0.012230042207059168,0.0034901043100759887,0.0006770661311888022
10,11,"[98, 643]","[0.04917375677143976, 3.526135336952247e-05, 0.0012166063722617417, 0.949574375502929]",98,643,0.04917375677143976,3.526135336952247e-05,0.0012166063722617417,0.949574375502929
11,12,"[101, 492]","[0.017122677029276695, 0.0, 0.0, 0.9828773229707233]",101,492,0.017122677029276695,0.0,0.0,0.9828773229707233
12,13,"[109, 201]","[0.00010819956429773373, 0.9614531828056929, 0.03769124753452401, 0.0007473700954853685]",109,201,0.00010819956429773373,0.9614531828056929,0.03769124753452401,0.0007473700954853685
13,14,"[116, 765]","[0.0005954250289874582, 0.07908585602557705, 0.8518416194081364, 0.0684770995372991]",116,765,0.0005954250289874582,0.07908585602557705,0.8518416194081364,0.0684770995372991
14,15,"[120, 157]","[0.006388701044515901, 0.038590426672980654, 0.018296590335937404, 0.9367242819465661]",120,157,0.006388701044515901,0.038590426672980654,0.018296590335937404,0.9367242819465661
15,16,"[127, 875]","[0.007520120286008316, 0.0010310963246888565, 0.00013529408037498834, 0.9913134893089278]",127,875,0.007520120286008316,0.0010310963246888565,0.00013529408037498834,0.9913134893089278
16,17,"[138, 368]","[0.003287201445507111, 0.00035141911193320506, 2.7087547576235914e-05, 0.9963342918949835]",138,368,0.003287201445507111,0.00035141911193320506,2.7087547576235914e-05,0.9963342918949835
17,18,"[140, 514]","[0.01786563073463755, 7.690927595037884e-05, 0.00010905795315661643, 0.9819484020362554]",140,514,0.01786563073463755,7.690927595037884e-05,0.00010905795315661643,0.9819484020362554
18,19,"[167, 914]","[0.0, 0.26773319376141835, 0.7088350070291792, 0.023431799209402457]",167,914,0.0,0.26773319376141835,0.7088350070291792,0.023431799209402457
19,20,"[166, 258]","[0.0032444514508216575, 0.9848846413914919, 0.009625361916784071, 0.0022455452409023283]",166,258,0.0032444514508216575,0.9848846413914919,0.009625361916784071,0.0022455452409023283
20,21,"[180, 644]","[0.0036386471275788148, 0.9732325869774425, 0.021120882395067323, 0.0020078834999113387]",180,644,0.0036386471275788148,0.9732325869774425,0.021120882395067323,0.0020078834999113387
21,22,"[184, 699]","[5.4257756673982e-06, 0.9893038300226439, 0.009122889830991897, 0.0015678543706968524]",184,699,5.4257756673982e-06,0.9893038300226439,0.009122889830991897,0.0015678543706968524
22,23,"[194, 413]","[0.17439785161902666, 4.8880403292728924e-05, 0.0, 0.8255532679776806]",194,413,0.17439785161902666,4.8880403292728924e-05,0.0,0.8255532679776806
23,24,"[204, 196]","[-7.401929638626385e-05, 0.0, 0.0, 1.0000740192963862]",204,196,-7.401929638626385e-05,0.0,0.0,1.0000740192963862
24,25,"[210, 843]","[6.87454311931923e-05, 0.5834678263225659, 0.40959860230149525, 0.006864825944745694]",210,843,6.87454311931923e-05,0.5834678263225659,0.40959860230149525,0.006864825944745694
25,26,"[234, 239]","[0.7025652553564024, 0.29387465270840885, 0.003323732019169126, 0.00023635991601971646]",234,239,0.7025652553564024,0.29387465270840885,0.003323732019169126,0.00023635991601971646
26,27,"[222, 527]","[0.8920337371358998, 0.006660993195822831, 4.202219796856248e-05, 0.10126324747030879]",222,527,0.8920337371358998,0.006660993195822831,4.202219796856248e-05,0.10126324747030879
27,28,"[240, 491]","[0.04328771135251509, 0.01451233858971676, 0.0015843230392319264, 0.9406156270185362]",240,491,0.04328771135251509,0.01451233858971676,0.0015843230392319264,0.9406156270185362
28,29,"[253, 250]","[0.7980449070224502, 0.01727438064969905, 0.03483544730704977, 0.14984526502080098]",253,250,0.7980449070224502,0.01727438064969905,0.03483544730704977,0.14984526502080098
29,30,"[258, 944]","[0.00884215759395309, 0.986618517213552, 0.004112107106775326, 0.0004272180857196539]",258,944,0.00884215759395309,0.986618517213552,0.004112107106775326,0.0004272180857196539
30,31,"[252, 67]","[0.4091069780925522, 0.0, 0.0, 0.5908930219074477]",252,67,0.4091069780925522,0.0,0.0,0.5908930219074477
31,32,"[257, 384]","[0.0, 0.01488052091082116, 0.9557011689656081, 0.029418310123570723]",257,384,0.0,0.01488052091082116,0.9557011689656081,0.029418310123570723
32,33,"[264, 869]","[0.5270036748704952, 0.0, 0.0, 0.47299632512950485]",264,869,0.5270036748704952,0.0,0.0,0.47299632512950485
33,34,"[283, 133]","[0.6387451069080116, 0.006014558293176833, 0.0005492710495065608, 0.3546910637493051]",283,133,0.6387451069080116,0.006014558293176833,0.0005492710495065608,0.3546910637493051
34,35,"[291, 73]","[0.0002569344204844695, 0.9598604260906062, 0.035577539025952905, 0.0043051004629564476]",291,73,0.0002569344204844695,0.9598604260906062,0.035577539025952905,0.0043051004629564476
35,36,"[294, 524]","[0.00015507534007913723, 0.0007822840554188057, 7.149753515847796e-06, 0.9990554908509862]",294,524,0.00015507534007913723,0.0007822840554188057,7.149753515847796e-06,0.9990554908509862
36,37,"[301, 714]","[0.0, 0.9599816979862998, 0.030021103129052665, 0.0099971988846475]",301,714,0.0,0.9599816979862998,0.030021103129052665,0.0099971988846475
37,38,"[298, 335]","[0.39350605419533446, 5.2024890340126375e-05, 0.0004307986808279365, 0.6060111222334975]",298,335,0.39350605419533446,5.2024890340126375e-05,0.0004307986808279365,0.6060111222334975
38,39,"[311, 621]","[0.011451455692798351, 0.0, 0.0, 0.9885485443072016]",311,621,0.011451455692798351,0.0,0.0,0.9885485443072016
39,40,"[320, 382]","[1.3989273862985017e-05, 0.0068230354560548665, 0.9621106671633045, 0.031052308106777664]",320,382,1.3989273862985017e-05,0.0068230354560548665,0.9621106671633045,0.031052308106777664
40,41,"[318, 287]","[0.17296187972372737, 0.0008933993781969027, 0.000244070327931827, 0.825900650570144]",318,287,0.17296187972372737,0.0008933993781969027,0.000244070327931827,0.825900650570144
41,42,"[333, 775]","[0.0001580062910664001, 0.011523972021964639, 0.19219019804033655, 0.7961278236466324]",333,775,0.0001580062910664001,0.011523972021964639,0.19219019804033655,0.7961278236466324
42,43,"[344, 962]","[0.00428085057574841, 0.9945648954556107, 0.0008080718758279996, 0.00034618209281295806]",344,962,0.00428085057574841,0.9945648954556107,0.0008080718758279996,0.00034618209281295806
43,44,"[356, 30]","[7.996023660195381e-05, 0.03267087079546066, 0.9558847539974548, 0.01136441497048261]",356,30,7.996023660195381e-05,0.03267087079546066,0.9558847539974548,0.01136441497048261
44,45,"[361, 322]","[0.9386090947353934, 0.022393050149931513, 0.010754836632519216, 0.02824301848215583]",361,322,0.9386090947353934,0.022393050149931513,0.010754836632519216,0.02824301848215583
45,46,"[357, 448]","[0.0363734962116418, 0.0, 0.0, 0.9636265037883582]",357,448,0.0363734962116418,0.0,0.0,0.9636265037883582
46,47,"[358, 555]","[0.021872886264252142, 0.00010710761174052146, 0.0010025047488999457, 0.9770175013751073]",358,555,0.021872886264252142,0.00010710761174052146,0.0010025047488999457,0.9770175013751073
47,48,"[373, 647]","[0.5981611033337009, 0.37170738200418246, 0.016976400805209506, 0.013155113856907166]",373,647,0.5981611033337009,0.37170738200418246,0.016976400805209506,0.013155113856907166
48,49,"[375, 593]","[0.000847856103693656, -0.00019379872912702738, 0.0004253224937514721, 0.9989206201316819]",375,593,0.000847856103693656,-0.00019379872912702738,0.0004253224937514721,0.9989206201316819
49,50,"[378, 513]","[0.14714714632427625, 7.31833978232552e-05, 0.0, 0.8527796702779005]",378,513,0.14714714632427625,7.31833978232552e-05,0.0,0.8527796702779005
50,51,"[400, 648]","[0.018391288652449746, 0.12144681796473855, 0.009602542597932579, 0.8505593507848791]",400,648,0.018391288652449746,0.12144681796473855,0.009602542597932579,0.8505593507848791
51,52,"[413, 441]","[4.60621342696422e-05, 0.9997779448494469, 0.00017599301628347215, 0.0]",413,441,4.60621342696422e-05,0.9997779448494469,0.00017599301628347215,0.0
52,53,"[411, 882]","[6.825012589167525e-05, 0.9862393554206519, 0.003216093713526277, 0.010476300739930154]",411,882,6.825012589167525e-05,0.9862393554206519,0.003216093713526277,0.010476300739930154
53,54,"[412, 746]","[0.0046735896091838975, 0.00022043892533907055, 6.138851005549142e-05, 0.9950445829554215]",412,746,0.0046735896091838975,0.00022043892533907055,6.138851005549142e-05,0.9950445829554215
54,55,"[412, 864]","[0.0003118358830451487, 0.0, 0.0, 0.9996881641169548]",412,864,0.0003118358830451487,0.0,0.0,0.9996881641169548
55,56,"[412, 45]","[0.22780561356443524, 0.0, 0.0, 0.7721943864355648]",412,45,0.22780561356443524,0.0,0.0,0.7721943864355648
56,57,"[421, 844]","[0.002979054159094884, 3.547499766219334e-05, 0.0, 0.996985470843243]",421,844,0.002979054159094884,3.547499766219334e-05,0.0,0.996985470843243
57,58,"[424, 608]","[0.17477363690744158, 0.0, 0.0, 0.8252263630925584]",424,608,0.17477363690744158,0.0,0.0,0.8252263630925584
58,59,"[426, 162]","[0.07203440271372163, 0.000376252849997264, 0.0003294449842408835, 0.9272598994520402]",426,162,0.07203440271372163,0.000376252849997264,0.0003294449842408835,0.9272598994520402
59,60,"[429, 212]","[0.0007981182723593656, 0.0, 0.0, 0.9992018817276407]",429,212,0.0007981182723593656,0.0,0.0,0.9992018817276407
60,61,"[449, 117]","[0.00018446810497872027, 0.9995392610720122, 0.0002756634413835101, 6.073816255880981e-07]",449,117,0.00018446810497872027,0.9995392610720122,0.0002756634413835101,6.073816255880981e-07
61,62,"[448, 837]","[1.990867258127549e-05, 0.0, 0.0, 0.9999800913274187]",448,837,1.990867258127549e-05,0.0,0.0,0.9999800913274187
62,63,"[452, 623]","[0.012746684382920842, 7.376400496295781e-06, 0.0, 0.9872459392165829]",452,623,0.012746684382920842,7.376400496295781e-06,0.0,0.9872459392165829
63,64,"[458, 239]","[0.01211356921906896, 0.0006392461969408061, 0.008047871469464913, 0.9791993131145253]",458,239,0.01211356921906896,0.0006392461969408061,0.008047871469464913,0.9791993131145253
64,65,"[470, 968]","[7.19279401467266e-05, 0.9999267616628974, 1.3103969559031953e-06, 0.0]",470,968,7.19279401467266e-05,0.9999267616628974,1.3103969559031953e-06,0.0
65,66,"[481, 449]","[4.5131721608415415e-05, 0.9993608734444857, 0.0005939948339059783, 0.0]",481,449,4.5131721608415415e-05,0.9993608734444857,0.0005939948339059783,0.0
66,67,"[480, 491]","[2.319192817875217e-06, 0.0044217917911960995, 0.003560873178782234, 0.9920150158372038]",480,491,2.319192817875217e-06,0.0044217917911960995,0.003560873178782234,0.9920150158372038
67,68,"[487, 874]","[0.0016582065302784457, 0.002957894992688121, 0.0015240843308804055, 0.993859814146153]",487,874,0.0016582065302784457,0.002957894992688121,0.0015240843308804055,0.993859814146153
68,69,"[490, 420]","[0.9593107597563588, 0.029801616484747325, 0.002899102307039973, 0.007988521451853907]",490,420,0.9593107597563588,0.029801616484747325,0.002899102307039973,0.007988521451853907
69,70,"[495, 544]","[0.00047743382837307736, 0.411202668997315, 0.5762507930385236, 0.012069104135788366]",495,544,0.00047743382837307736,0.411202668997315,0.5762507930385236,0.012069104135788366
70,71,"[512, 221]","[0.0, 0.8713990273627469, 0.12407302248438576, 0.004527950152867365]",512,221,0.0,0.8713990273627469,0.12407302248438576,0.004527950152867365
71,72,"[523, 158]","[1.872090905847583e-05, 0.12758308611573066, 0.8647450966884411, 0.007653096286769687]",523,158,1.872090905847583e-05,0.12758308611573066,0.8647450966884411,0.007653096286769687
72,73,"[523, 372]","[0.1802977689522432, 7.219370759715531e-05, 0.0, 0.8196300373401596]",523,372,0.1802977689522432,7.219370759715531e-05,0.0,0.8196300373401596
73,74,"[535, 672]","[0.05121780105912728, 8.681104938929529e-06, 0.0, 0.9487735178359338]",535,672,0.05121780105912728,8.681104938929529e-06,0.0,0.9487735178359338
74,75,"[544, 511]","[0.4711687128985871, 0.0, 0.0, 0.5288312871014129]",544,511,0.4711687128985871,0.0,0.0,0.5288312871014129
75,76,"[553, 21]","[0.010295147379477803, 0.00572801793816395, 0.0037539383671351513, 0.9802228963152231]",553,21,0.010295147379477803,0.00572801793816395,0.0037539383671351513,0.9802228963152231
76,77,"[551, 993]","[0.0, 0.0, 0.0, 1.0]",551,993,0.0,0.0,0.0,1.0
77,78,"[556, 742]","[0.030826359179538514, 0.0001895971485616673, 6.08570199585081e-05, 0.9689231866519413]",556,742,0.030826359179538514,0.0001895971485616673,6.08570199585081e-05,0.9689231866519413
78,79,"[564, 888]","[-0.0006913075077361759, 0.0002645693001649687, 0.002025831931764013, 0.9984009062758072]",564,888,-0.0006913075077361759,0.0002645693001649687,0.002025831931764013,0.9984009062758072
79,80,"[565, 173]","[0.0032856116062312426, 0.0009654735585033014, 0.005508991891588546, 0.9902399229436769]",565,173,0.0032856116062312426,0.0009654735585033014,0.005508991891588546,0.9902399229436769
80,81,"[583, 339]","[0.0, 0.25369447552146673, 0.7356389694013366, 0.010666555077196743]",583,339,0.0,0.25369447552146673,0.7356389694013366,0.010666555077196743
81,82,"[580, 637]","[0.0, 0.2086715666734162, 0.7380384055461948, 0.05329002778038904]",580,637,0.0,0.2086715666734162,0.7380384055461948,0.05329002778038904
82,83,"[582, 166]","[2.4576971591763288e-05, 0.0, 0.0, 0.9999754230284083]",582,166,2.4576971591763288e-05,0.0,0.0,0.9999754230284083
83,84,"[593, 826]","[0.0, 0.9999839716074816, 1.6028392518359354e-05, 0.0]",593,826,0.0,0.9999839716074816,1.6028392518359354e-05,0.0
84,85,"[595, 444]","[0.0006259677106422058, 0.9993556662973392, 1.8365992018623295e-05, 0.0]",595,444,0.0006259677106422058,0.9993556662973392,1.8365992018623295e-05,0.0
85,86,"[590, 125]","[0.009773147201747481, 0.0, 0.0, 0.9902268527982525]",590,125,0.009773147201747481,0.0,0.0,0.9902268527982525
86,87,"[597, 912]","[0.00011549042157774291, 5.808705698025839e-05, 0.0, 0.999826422521442]",597,912,0.00011549042157774291,5.808705698025839e-05,0.0,0.999826422521442
87,88,"[606, 42]","[0.0022704368442523683, 0.0, 0.0, 0.9977295631557477]",606,42,0.0022704368442523683,0.0,0.0,0.9977295631557477
88,89,"[607, 703]","[0.00024124447251907012, 6.86729667004627e-05, 0.0, 0.9996900825607805]",607,703,0.00024124447251907012,6.86729667004627e-05,0.0,0.9996900825607805
89,90,"[614, 349]","[0.21164810247450652, 0.7700941554922348, 0.012158429330475722, 0.0060993127027829065]",614,349,0.21164810247450652,0.7700941554922348,0.012158429330475722,0.0060993127027829065
90,91,"[615, 954]","[0.005730106615338764, 0.0, 0.0, 0.9942698933846612]",615,954,0.005730106615338764,0.0,0.0,0.9942698933846612
91,92,"[643, 381]","[7.322022324357155e-06, 0.9993004513608418, 0.0006922266168338597, 0.0]",643,381,7.322022324357155e-06,0.9993004513608418,0.0006922266168338597,0.0
92,93,"[639, 308]","[0.020467247825995544, 0.0037452150313700243, 0.007296580853745184, 0.9684909562888893]",639,308,0.020467247825995544,0.0037452150313700243,0.007296580853745184,0.9684909562888893
93,94,"[642, 663]","[0.030607915762109243, 0.0004450281998765235, 0.0020934825322852786, 0.966853573505729]",642,663,0.030607915762109243,0.0004450281998765235,0.0020934825322852786,0.966853573505729
94,95,"[659, 520]","[0.008372480285577058, 0.9916019961768453, 2.552353757761927e-05, 0.0]",659,520,0.008372480285577058,0.9916019961768453,2.552353757761927e-05,0.0
95,96,"[659, 991]","[0.0, 0.0, 0.0, 1.0]",659,991,0.0,0.0,0.0,1.0
96,97,"[679, 372]","[0.0809300113432523, 0.017988403030533482, 0.052879830252376456, 0.8482017553738378]",679,372,0.0809300113432523,0.017988403030533482,0.052879830252376456,0.8482017553738378
97,98,"[691, 166]","[0.9827885241870931, 0.015251237054491752, 0.0015748388317762686, 0.00038539992663893694]",691,166,0.9827885241870931,0.015251237054491752,0.0015748388317762686,0.00038539992663893694
98,99,"[697, 140]","[0.012588470459318449, 0.979036928020614, 0.006252782717408749, 0.00212181880265872]",697,140,0.012588470459318449,0.979036928020614,0.006252782717408749,0.00212181880265872
99,100,"[705, 278]","[0.003722477214311078, 0.004376972705617974, 0.02393423970294448, 0.9679663103771264]",705,278,0.003722477214311078,0.004376972705617974,0.02393423970294448,0.9679663103771264
100,101,"[715, 737]","[0.014566172446994515, 0.36317766096312204, 0.18256568850938557, 0.4396904780804979]",715,737,0.014566172446994515,0.36317766096312204,0.18256568850938557,0.4396904780804979
101,102,"[725, 22]","[0.008571812915914506, 7.742429483491361e-05, 0.0, 0.9913507627892506]",725,22,0.008571812915914506,7.742429483491361e-05,0.0,0.9913507627892506
102,103,"[725, 972]","[0.04941616993538647, -0.00010537397548958772, 0.0003540937763572103, 0.950335110263746]",725,972,0.04941616993538647,-0.00010537397548958772,0.0003540937763572103,0.950335110263746
103,104,"[744, 605]","[0.011800488179468535, 3.026213427070466e-06, 0.0, 0.9881964856071044]",744,605,0.011800488179468535,3.026213427070466e-06,0.0,0.9881964856071044
104,105,"[750, 923]","[0.005859162714264161, 0.0003611404416221103, -7.5314769117054095e-06, 0.9937872283210254]",750,923,0.005859162714264161,0.0003611404416221103,-7.5314769117054095e-06,0.9937872283210254
105,106,"[755, 400]","[0.0030228968983534972, 0.22976869461892135, 0.5563291678268323, 0.2108792406558929]",755,400,0.0030228968983534972,0.22976869461892135,0.5563291678268323,0.2108792406558929
106,107,"[766, 15]","[0.647621299430561, 0.3438465553781465, 0.004358936776927646, 0.004173208414364774]",766,15,0.647621299430561,0.3438465553781465,0.004358936776927646,0.004173208414364774
107,108,"[779, 217]","[8.255279694537217e-05, 4.622110408951207e-06, 0.002564584272132422, 0.9973482408205132]",779,217,8.255279694537217e-05,4.622110408951207e-06,0.002564584272132422,0.9973482408205132
108,109,"[788, 5]","[0.0, 0.0, 0.3057980844571895, 0.6942019155428105]",788,5,0.0,0.0,0.3057980844571895,0.6942019155428105
109,110,"[797, 627]","[0.0263939056661299, 0.9679715756850986, 0.004667048000965647, 0.0009674706478058504]",797,627,0.0263939056661299,0.9679715756850986,0.004667048000965647,0.0009674706478058504
110,111,"[805, 472]","[0.012318745441613172, 0.0008089494052244261, 0.0008319225368147357, 0.9860403826163476]",805,472,0.012318745441613172,0.0008089494052244261,0.0008319225368147357,0.9860403826163476
111,112,"[808, 745]","[0.002591740829283749, 0.00097711263529082, 0.0004899909260591932, 0.9959411556093662]",808,745,0.002591740829283749,0.00097711263529082,0.0004899909260591932,0.9959411556093662
112,113,"[838, 867]","[0.05775089794465338, 8.424185661366522e-05, 0.0009600786121757362, 0.9412047815865572]",838,867,0.05775089794465338,8.424185661366522e-05,0.0009600786121757362,0.9412047815865572
113,114,"[848, 752]","[0.0001471833483629972, 0.7885063692795155, 0.20580229568346556, 0.005544151688656002]",848,752,0.0001471833483629972,0.7885063692795155,0.20580229568346556,0.005544151688656002
114,115,"[845, 473]","[0.17087357792813795, 0.0, 0.0, 0.829126422071862]",845,473,0.17087357792813795,0.0,0.0,0.829126422071862
115,116,"[873, 82]","[0.3234877811443229, 0.0, 0.0, 0.676512218855677]",873,82,0.3234877811443229,0.0,0.0,0.676512218855677
116,117,"[878, 705]","[0.015043884087607361, -1.2193493986923104e-05, 0.00016388333102470388, 0.9848044260753549]",878,705,0.015043884087607361,-1.2193493986923104e-05,0.00016388333102470388,0.9848044260753549
117,118,"[890, 403]","[0.0006615789340058807, 7.597476536857651e-05, 0.0, 0.9992624463006256]",890,403,0.0006615789340058807,7.597476536857651e-05,0.0,0.9992624463006256
118,119,"[900, 542]","[0.08131461763500998, 0.0008627918785125534, 0.0, 0.9178225904864775]",900,542,0.08131461763500998,0.0008627918785125534,0.0,0.9178225904864775
119,120,"[923, 581]","[0.03963155858045581, 0.912956124527982, 0.0418583169237012, 0.005553999967860935]",923,581,0.03963155858045581,0.912956124527982,0.0418583169237012,0.005553999967860935
120,121,"[932, 735]","[0.0, 0.5722870358875245, 0.4179877191750999, 0.009725244937375529]",932,735,0.0,0.5722870358875245,0.4179877191750999,0.009725244937375529
121,122,"[933, 231]","[0.00022533192868489543, 0.00046225869091616695, 0.9352467944866923, 0.06406561489370659]",933,231,0.00022533192868489543,0.00046225869091616695,0.9352467944866923,0.06406561489370659
122,123,"[937, 143]","[0.05906159858867724, 0.0002711328208734928, 0.0, 0.9406672685904492]",937,143,0.05906159858867724,0.0002711328208734928,0.0,0.9406672685904492
123,124,"[966, 431]","[0.1423155088929587, 0.8205433494807373, 0.03712703118029381, 1.4110446010276465e-05]",966,431,0.1423155088929587,0.8205433494807373,0.03712703118029381,1.4110446010276465e-05
124,125,"[962, 619]","[0.18283861007994626, 7.678651334689819e-05, 0.0, 0.8170846034067069]",962,619,0.18283861007994626,7.678651334689819e-05,0.0,0.8170846034067069
125,126,"[975, 771]","[0.048987106562267055, 0.14662409971936582, 0.14619386025619294, 0.6581949334621742]",975,771,0.048987106562267055,0.14662409971936582,0.14619386025619294,0.6581949334621742
126,127,"[993, 374]","[0.005422985086923929, 0.6339435350729962, 0.2785041879982681, 0.08212929184181182]",993,374,0.005422985086923929,0.6339435350729962,0.2785041879982681,0.08212929184181182
127,128,"[985, 807]","[0.0, 0.9796128060930025, 0.019802158748302472, 0.0005850351586949884]",985,807,0.0,0.9796128060930025,0.019802158748302472,0.0005850351586949884
128,129,"[987, 516]","[0.9681018319504161, 0.011413958470257916, 0.008340054273409857, 0.012144155305916105]",987,516,0.9681018319504161,0.011413958470257916,0.008340054273409857,0.012144155305916105
129,130,"[989, 938]","[0.8690627883659182, 0.010861305328780602, 0.003296246612656349, 0.11677965969264482]",989,938,0.8690627883659182,0.010861305328780602,0.003296246612656349,0.11677965969264482
130,131,"[990, 166]","[0.0, 0.0, 0.0, 1.0]",990,166,0.0,0.0,0.0,1.0
131,132,"[988, 455]","[0.10981753018717659, 0.0003503835708354119, 0.0, 0.889832086241988]",988,455,0.10981753018717659,0.0003503835708354119,0.0,0.889832086241988
132,133,"[988, 275]","[0.0, 0.0, 0.0, 1.0]",988,275,0.0,0.0,0.0,1.0
133,134,"[990, 67]","[0.0, 0.0, 0.0, 1.0]",990,67,0.0,0.0,0.0,1.0
134,135,"[994, 832]","[0.0, 0.05178816481462165, 0.3935533150015276, 0.5546585201838506]",994,832,0.0,0.05178816481462165,0.3935533150015276,0.5546585201838506
